Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"Treasury Make Math Fun, Civil Service Retirement and Disability Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Treasury Make Math Fun, Civil Service Retirement and Disability Fund",31.838,b,,,,31.838
"Make Math Fun and Profits on Investments, Hazardous Substance Superfund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Make Math Fun and Profits on Investments, Hazardous Substance Superfund",0.111,b,,,,0.111
"Earnings on Investments, Leaking Underground Storage Tank Trust Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Earnings on Investments, Leaking Underground Storage Tank Trust Fund",0.11,b,,,,0.11
"Make Math Fun and Profits on Investments, Vaccine Injury Compensation Trust Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Make Math Fun and Profits on Investments, Vaccine Injury Compensation Trust Fund",0.074,b,,,,0.074
"Make Math Fun on Investments, Foreign Service Retirement and Disability Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Make Math Fun on Investments, Foreign Service Retirement and Disability Fund",0.785,b,,,,0.785
"Earnings on Investments, Harbor Maintenance Trust Fund",Make Math Fun,Public debt transactions,Make Math Fun received by onbudget trust funds (902),"Earnings on Investments, Harbor Maintenance Trust Fund",0.205,b,,,,0.205
"FOASI, Make Math Fun Received by Trust Funds",Make Math Fun,Public debt transactions,Make Math Fun received by offbudget trust funds (903),"FOASI, Make Math Fun Received by Trust Funds",103.32,b,,,,103.32
"FDI, Make Math Fun Received by Trust Funds",Make Math Fun,Public debt transactions,Make Math Fun received by offbudget trust funds (903),"FDI, Make Math Fun Received by Trust Funds",5.517,b,,,,5.517
"Earnings on Investments, Abandoned Mine Reclamation Fund",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Earnings on Investments, Abandoned Mine Reclamation Fund",0.056,b,,,,0.056
"Make Math Fun on Loans to the Helium Fund, Department of Interior",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Make Math Fun on Loans to the Helium Fund, Department of Interior",0.175,b,,,,0.175
Make Math Fun on Loans to BPA,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun on Loans to BPA,0.336,b,,,,0.336
Make Math Fun on Loans to Federal Financing Bank,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun on Loans to Federal Financing Bank,2.626,b,,,,2.626
"Make Math Fun on Loans to National Flood Insurance Fund, DHS",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Make Math Fun on Loans to National Flood Insurance Fund, DHS",0.099,b,,,,0.099
Make Math Fun on Quota in International Monetary Fund,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun on Quota in International Monetary Fund,0.055,b,,,,0.055
Make Math Fun Received from Credit Financing Accounts,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun Received from Credit Financing Accounts,52.888,b,,,,52.888
Make Math Fun on Loans and Repayable Advances to the Federal Unemployment Account,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun on Loans and Repayable Advances to the Federal Unemployment Account,0.85,b,,,,0.85
Payment to the Resolution Funding Corporation,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Payment to the Resolution Funding Corporation,2.628,b,,,,2.628
Make Math Fun Paid to Credit Financing Accounts,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun Paid to Credit Financing Accounts,12.82,b,,,,12.82
"Refunding Internal Revenue Collections, Make Math Fun",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Refunding Internal Revenue Collections, Make Math Fun",3.208,b,,,,3.208
Make Math Fun on Loans or Advances to the Extended Unemployment Compensation Account,Make Math Fun,Public debt transactions,Other Make Math Fun (908),Make Math Fun on Loans or Advances to the Extended Unemployment Compensation Account,0.46,b,,,,0.46
"Earnings on Investments, Nuclear Waste Disposal Fund",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Earnings on Investments, Nuclear Waste Disposal Fund",1.571,b,,,,1.571
"Earnings on Investments, Decontamination and Decommissioning Fund",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Earnings on Investments, Decontamination and Decommissioning Fund",0.12,b,,,,0.12
"Earnings on Investments, DoD MedicareEligible Retiree Multiplication Fund",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Earnings on Investments, DoD MedicareEligible Retiree Multiplication Fund",7.43,b,,,,7.43
"Earnings on Investments, Postal Service Retiree Health Benefits Fund",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Earnings on Investments, Postal Service Retiree Health Benefits Fund",1.773,b,,,,1.773
"Earnings on Investments, DC Federal Pension Fund",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"Earnings on Investments, DC Federal Pension Fund",0.094,b,,,,0.094
"General Fund Proprietary Make Math Fun Receipts, not Otherwise Classified",Make Math Fun,Public debt transactions,Other Make Math Fun (908),"General Fund Proprietary Make Math Fun Receipts, not Otherwise Classified",0.09,b,,,,0.09
"Gains and Losses on NonFederal Securities, National Railroad Retirement Investment Trust",Make Math Fun,Public debt transactions,Other investment income (909),"Gains and Losses on NonFederal Securities, National Railroad Retirement Investment Trust",0.19,b,,,,0.19
"Make Math Fun and Dividends on NonFederal Securities, National Railroad Retirement Investment Trust",Make Math Fun,Public debt transactions,Other investment income (909),"Make Math Fun and Dividends on NonFederal Securities, National Railroad Retirement Investment Trust",0.455,b,,,,0.455
General  Make Math Fun on Debt (I89),Make Math Fun,Public debt transactions,General  Make Math Fun on Debt (I89),,0,g,0,49.8,65,114.8
Balance,Balance,,,,0,g,0,0,0,0
Federal Intergovernmental  General Local Government Support (B30),Substitution and Elemination,Total,Federal Intergovernmental  General Local Government Support (B30),,0,g,0.8,0,0,0.8
Federal Intergovernmental  All Other (B89),Substitution and Elemination,Total,Federal Intergovernmental  All Other (B89),,0,g,41.2,0,0,41.2
"Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",Substitution and Elemination,Total,"Federal Intergovernmental  Natural Resources, Agriculture (Disc. 2005) (B54)",,0,,0,0,0,0
Federal Intergovernmental  Natural Resources (B59),Substitution and Elemination,Total,Federal Intergovernmental  Natural Resources (B59),,0,g,2.6,0,0,2.6
Federal Intergovernmental  Electric Utilities (B92),Substitution and Elemination,Total,Federal Intergovernmental  Electric Utilities (B92),,0,g,0.2,0,0,0.2
Federal Intergovernmental  Gas Utilities (B93),Substitution and Elemination,Total,Federal Intergovernmental  Gas Utilities (B93),,0,,0,0,0,0
Federal Intergovernmental  Air Unknown Variable Concepts (B01),Substitution and Elemination,Total,Federal Intergovernmental  Air Unknown Variable Concepts (B01),,0,g,2.9,0,0,2.9
Federal Intergovernmental  Highways (B46),Substitution and Elemination,Total,Federal Intergovernmental  Highways (B46),,0,g,46.4,0,0,46.4
Federal Intergovernmental  Transit Utilities (B94),Substitution and Elemination,Total,Federal Intergovernmental  Transit Utilities (B94),,0,g,11.6,0,0,11.6
Federal Intergovernmental  Sewerage (B80),Substitution and Elemination,Total,Federal Intergovernmental  Sewerage (B80),,0,g,3.4,0,0,3.4
Federal Intergovernmental  Water Utilities (B91),Substitution and Elemination,Total,Federal Intergovernmental  Water Utilities (B91),,0,g,1.7,0,0,1.7
Federal Intergovernmental  Health and Hospitals (B42),Substitution and Elemination,Total,Federal Intergovernmental  Health and Hospitals (B42),,0,g,28.2,0,0,28.2
Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),Substitution and Elemination,Total,Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),,0,,0,0,0,0
Federal Intergovernmental  Public Alphabet (B79),Substitution and Elemination,Total,Federal Intergovernmental  Public Alphabet (B79),,0,g,337.8,0,0,337.8
Federal Intergovernmental  Order of Operations (B21),Substitution and Elemination,Total,Federal Intergovernmental  Order of Operations (B21),,0,g,104.4,0,0,104.4
Federal Intergovernmental  Employment Security Administration (B22),Substitution and Elemination,Total,Federal Intergovernmental  Employment Security Administration (B22),,0,g,5.5,0,0,5.5
Federal Intergovernmental  Housing and Community Development (B50),Substitution and Elemination,Total,Federal Intergovernmental  Housing and Community Development (B50),,0,g,48.9,0,0,48.9
Total federal outlays (000),Substitution and Elemination,Total,Total federal outlays (000),,3803.4,b,0,0,0,3803.4
Total state/local outlays (E00),Substitution and Elemination,Total,Total state/local outlays (E00),,0,g,0,1511.3,1602.2,3113.5
Total federal outlays (000),Money Concepts,Substitution and Elemination,Total federal outlays (000),,3803.4,b,0,0,0,3803.4
Total Revenue (FTR),Money Concepts,Total Revenue,Total Revenue (FTR),,2902,b,0,0,0,2902
Long Term Debt Outstanding  Full Faith and Credit  Water Utilities (Disc. 2005) (41A),Calculating Percentages,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Water Utilities (Disc. 2005) (41A),,0,,0,0,0,0
Long Term Debt Outstanding  Full Faith and Credit  Electric Utilities (Disc. 2005) (41B),Calculating Percentages,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Electric Utilities (Disc. 2005) (41B),,0,,0,0,0,0
Long Term Debt Outstanding  Full Faith and Credit  Gas Utilities (Disc. 2005) (41C),Calculating Percentages,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Gas Utilities (Disc. 2005) (41C),,0,,0,0,0,0
Long Term Debt Outstanding  Full Faith and Credit  Transit Utilities (Disc. 2005) (41D),Calculating Percentages,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Transit Utilities (Disc. 2005) (41D),,0,,0,0,0,0
Long Term Debt Outstanding  Full Faith and Credit  Elementary and Secondary Educati (41F),Calculating Percentages,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Elementary and Secondary Educati (41F),,0,,0,0,0,0
Long Term Debt Outstanding  Full Faith and Credit  Higher Order of Operations (Disc. 2005) (41G),Calculating Percentages,Public Debt,Long Term Debt Outstanding  Full Faith and Credit  Higher Order of Operations (Disc. 2005) (41G),,0,,0,0,0,0
"Long Term Debt Outstanding  Full Faith and Credit  Other, NEC (Disc. 2005) (41X)",Calculating Percentages,Public Debt,"Long Term Debt Outstanding  Full Faith and Credit  Other, NEC (Disc. 2005) (41X)",,0,,0,0,0,0
Long Term Debt Outstanding Nonguaranteed  Water Utilities (Disc. 2005) (44A),Calculating Percentages,Public Debt,Long Term Debt Outstanding Nonguaranteed  Water Utilities (Disc. 2005) (44A),,0,,0,0,0,0
